Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Cefalexin,Analgesic,Cream,681 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Cefmetazole,Antidiabetic,Drops,970 mg,Bayer AG,Fever,Over-the-Counter
Cefixime,Analgesic,Drops,493 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Amoxicillin,Antifungal,Capsule,349 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Clarithromycin,Antiviral,Syrup,923 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Clarithromycin,Antidiabetic,Drops,30 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Ibuprofen,Antipyretic,Tablet,322 mg,Eli Lilly and Company,Diabetes,Prescription
Ibuprofen,Antibiotic,Drops,823 mg,AbbVie Inc.,Virus,Over-the-Counter
Acetaminophen,Antidepressant,Drops,157 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Amoxicillin,Antiviral,Syrup,109 mg,Pfizer Inc.,Depression,Prescription
Clarithromycin,Antibiotic,Ointment,544 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Amoxicillin,Antipyretic,Syrup,266 mg,Eli Lilly and Company,Wound,Over-the-Counter
Ibuprofen,Antibiotic,Cream,856 mg,"Merck & Co., Inc.",Infection,Prescription
Clarithromycin,Antifungal,Capsule,514 mg,Novartis AG,Infection,Over-the-Counter
Paracetamol,Antifungal,Inhaler,670 mg,Pfizer Inc.,Virus,Over-the-Counter
Cefoperazone,Antiseptic,Cream,125 mg,Roche Holding AG,Pain,Prescription
Amoxicillin,Antidiabetic,Ointment,29 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Clarithromycin,Antiseptic,Ointment,312 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Dextromethorphan,Analgesic,Inhaler,316 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Ketoprofen,Analgesic,Cream,395 mg,Novartis AG,Diabetes,Over-the-Counter
Dextromethorphan,Antipyretic,Syrup,194 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Cefaclor,Analgesic,Syrup,578 mg,CSL Limited,Wound,Over-the-Counter
Ibuprofen,Antipyretic,Capsule,472 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Acetaminophen,Antibiotic,Cream,144 mg,Bayer AG,Pain,Prescription
Methicillin,Antidepressant,Inhaler,252 mg,Pfizer Inc.,Pain,Prescription
Cefaclor,Antiseptic,Injection,761 mg,Roche Holding AG,Pain,Over-the-Counter
Amoxicillin,Antiseptic,Ointment,164 mg,Bayer AG,Pain,Over-the-Counter
Paracetamol,Antidepressant,Tablet,654 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Ibuprofen,Analgesic,Capsule,688 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Cefmetazole,Antibiotic,Inhaler,482 mg,Biogen Inc.,Virus,Over-the-Counter
Amoxicillin,Antidiabetic,Drops,135 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Amoxicillin,Antiviral,Tablet,466 mg,Amgen Inc.,Virus,Prescription
Cefadroxil,Antiviral,Cream,606 mg,Novartis AG,Infection,Prescription
Clarithromycin,Analgesic,Cream,53 mg,AbbVie Inc.,Virus,Prescription
Dextromethorphan,Antibiotic,Ointment,298 mg,Eli Lilly and Company,Fungus,Prescription
Ibuprofen,Antibiotic,Capsule,20 mg,Amgen Inc.,Diabetes,Prescription
Dextromethorphan,Antibiotic,Syrup,497 mg,Biogen Inc.,Virus,Over-the-Counter
Cefazolin,Antipyretic,Cream,322 mg,"Gilead Sciences, Inc.",Fever,Over-the-Counter
Acetaminophen,Antifungal,Ointment,254 mg,Eli Lilly and Company,Fever,Over-the-Counter
Metformin,Analgesic,Capsule,162 mg,Roche Holding AG,Diabetes,Prescription
Ibuprofen,Analgesic,Inhaler,684 mg,Pfizer Inc.,Virus,Prescription
Dextromethorphan,Antibiotic,Inhaler,259 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dextromethorphan,Antipyretic,Ointment,83 mg,Pfizer Inc.,Fever,Prescription
Cefadroxil,Antidepressant,Tablet,90 mg,Johnson & Johnson,Virus,Prescription
Paracetamol,Analgesic,Injection,641 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Ibuprofen,Antiseptic,Cream,890 mg,Novartis AG,Diabetes,Over-the-Counter
Cefalexin,Antiseptic,Injection,114 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Metformin,Antipyretic,Tablet,581 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Paracetamol,Antibiotic,Syrup,33 mg,Johnson & Johnson,Diabetes,Over-the-Counter
Paracetamol,Antibiotic,Inhaler,954 mg,CSL Limited,Fungus,Over-the-Counter
Cefaclor,Analgesic,Injection,869 mg,Biogen Inc.,Diabetes,Over-the-Counter
Acetaminophen,Analgesic,Drops,215 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Acetaminophen,Antipyretic,Ointment,215 mg,Eli Lilly and Company,Fever,Over-the-Counter
Ibuprofen,Antiseptic,Tablet,382 mg,Sanofi S.A.,Diabetes,Prescription
Ibuprofen,Antidiabetic,Inhaler,299 mg,Bristol-Myers Squibb Company,Wound,Prescription
Acetaminophen,Antipyretic,Cream,304 mg,CSL Limited,Diabetes,Over-the-Counter
Ibuprofen,Analgesic,Syrup,130 mg,CSL Limited,Diabetes,Prescription
Cefmetazole,Antiseptic,Tablet,121 mg,Bayer AG,Infection,Over-the-Counter
Cefixime,Antiviral,Syrup,639 mg,Biogen Inc.,Depression,Prescription
Paracetamol,Antibiotic,Capsule,320 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Metronidazole,Antifungal,Capsule,514 mg,"Merck & Co., Inc.",Virus,Prescription
Amoxicillin,Antidepressant,Inhaler,463 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dextromethorphan,Antifungal,Cream,531 mg,Novartis AG,Virus,Over-the-Counter
Metronidazole,Antibiotic,Drops,158 mg,Boehringer Ingelheim GmbH,Pain,Over-the-Counter
Cefazolin,Antipyretic,Cream,454 mg,AbbVie Inc.,Wound,Prescription
Metoprolol,Antidiabetic,Ointment,434 mg,AstraZeneca plc,Wound,Over-the-Counter
Clarithromycin,Antipyretic,Capsule,493 mg,Amgen Inc.,Fungus,Over-the-Counter
Paracetamol,Antiviral,Inhaler,563 mg,Johnson & Johnson,Virus,Over-the-Counter
Ibuprofen,Analgesic,Drops,954 mg,AbbVie Inc.,Depression,Prescription
Metronidazole,Antidiabetic,Tablet,362 mg,Novo Nordisk A/S,Fungus,Prescription
Cefoperazone,Analgesic,Syrup,557 mg,AstraZeneca plc,Fever,Over-the-Counter
Paracetamol,Antifungal,Injection,278 mg,Novartis AG,Fungus,Over-the-Counter
Acetaminophen,Antidepressant,Cream,977 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Cefixime,Antidiabetic,Ointment,759 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Metoprolol,Antidepressant,Tablet,488 mg,Novartis AG,Infection,Over-the-Counter
Ibuprofen,Antidiabetic,Syrup,490 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Acetaminophen,Analgesic,Inhaler,791 mg,Biogen Inc.,Fever,Over-the-Counter
Metformin,Antiseptic,Cream,489 mg,Amgen Inc.,Infection,Prescription
Cefazolin,Antidepressant,Injection,7 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Cefalexin,Antipyretic,Capsule,699 mg,Pfizer Inc.,Wound,Prescription
Acetaminophen,Antipyretic,Cream,2 mg,AstraZeneca plc,Fever,Over-the-Counter
Ketoprofen,Analgesic,Inhaler,113 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Dextromethorphan,Antipyretic,Capsule,143 mg,AbbVie Inc.,Virus,Prescription
Dextromethorphan,Antifungal,Drops,509 mg,Johnson & Johnson,Wound,Over-the-Counter
Metronidazole,Analgesic,Syrup,455 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Paracetamol,Antidiabetic,Cream,255 mg,AbbVie Inc.,Virus,Over-the-Counter
Cefmetazole,Analgesic,Cream,294 mg,AbbVie Inc.,Depression,Prescription
Acetaminophen,Antiseptic,Tablet,62 mg,AstraZeneca plc,Diabetes,Prescription
Paracetamol,Antiseptic,Ointment,485 mg,Sanofi S.A.,Fungus,Prescription
Acetaminophen,Antidiabetic,Inhaler,266 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Acetaminophen,Antipyretic,Inhaler,618 mg,Novartis AG,Infection,Prescription
Dextromethorphan,Antibiotic,Inhaler,894 mg,"Merck & Co., Inc.",Pain,Prescription
Ibuprofen,Antifungal,Drops,955 mg,AstraZeneca plc,Fever,Over-the-Counter
Ibuprofen,Antibiotic,Syrup,804 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Paracetamol,Antiseptic,Tablet,613 mg,Pfizer Inc.,Fungus,Prescription
Acetaminophen,Antidepressant,Cream,304 mg,Roche Holding AG,Fever,Over-the-Counter
Ibuprofen,Antidepressant,Capsule,623 mg,Sanofi S.A.,Fever,Prescription
Clarithromycin,Antipyretic,Cream,66 mg,Bristol-Myers Squibb Company,Pain,Prescription
Ibuprofen,Antipyretic,Injection,747 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Paracetamol,Antidepressant,Inhaler,504 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Ibuprofen,Antiseptic,Syrup,544 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Clarithromycin,Antidepressant,Injection,539 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Metronidazole,Antifungal,Drops,115 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Clarithromycin,Antiviral,Inhaler,4 mg,CSL Limited,Wound,Prescription
Dextromethorphan,Antiviral,Injection,141 mg,Amgen Inc.,Fever,Prescription
Ketoprofen,Antifungal,Inhaler,634 mg,AbbVie Inc.,Pain,Prescription
Ibuprofen,Analgesic,Cream,759 mg,Bayer AG,Fever,Prescription
Ketoprofen,Antipyretic,Injection,801 mg,Roche Holding AG,Virus,Over-the-Counter
Clarithromycin,Antiviral,Capsule,305 mg,Biogen Inc.,Fungus,Over-the-Counter
Clarithromycin,Analgesic,Capsule,596 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Paracetamol,Antiviral,Inhaler,35 mg,"Merck & Co., Inc.",Depression,Prescription
Metoprolol,Antifungal,Cream,658 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dextromethorphan,Antibiotic,Inhaler,115 mg,Biogen Inc.,Pain,Over-the-Counter
Cephalexin,Antidiabetic,Tablet,6 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Cefalexin,Antidepressant,Tablet,572 mg,Johnson & Johnson,Fungus,Over-the-Counter
Clarithromycin,Analgesic,Injection,426 mg,AbbVie Inc.,Pain,Over-the-Counter
Acetaminophen,Analgesic,Inhaler,959 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Acetaminophen,Antifungal,Tablet,175 mg,AstraZeneca plc,Virus,Over-the-Counter
Cephalexin,Analgesic,Cream,623 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetaminophen,Antiviral,Tablet,299 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Metronidazole,Antifungal,Capsule,518 mg,AstraZeneca plc,Fungus,Over-the-Counter
Clarithromycin,Antifungal,Inhaler,707 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Dextromethorphan,Antibiotic,Syrup,286 mg,GlaxoSmithKline plc,Wound,Prescription
Dextromethorphan,Analgesic,Cream,901 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetaminophen,Antipyretic,Syrup,460 mg,Amgen Inc.,Fever,Prescription
Clarithromycin,Antidiabetic,Tablet,133 mg,Novartis AG,Fungus,Prescription
Ibuprofen,Antidepressant,Tablet,249 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoxicillin,Antipyretic,Inhaler,581 mg,Bayer AG,Wound,Over-the-Counter
Ketoprofen,Antidepressant,Injection,97 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Acetaminophen,Antiviral,Ointment,212 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Paracetamol,Antiseptic,Drops,859 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Cefoperazone,Antidepressant,Cream,979 mg,Sanofi S.A.,Depression,Over-the-Counter
Paracetamol,Antipyretic,Tablet,978 mg,Amgen Inc.,Fungus,Prescription
Amoxicillin,Antidepressant,Drops,595 mg,Amgen Inc.,Diabetes,Prescription
Paracetamol,Antifungal,Capsule,536 mg,Novartis AG,Fever,Over-the-Counter
Paracetamol,Antidiabetic,Inhaler,770 mg,Pfizer Inc.,Fungus,Over-the-Counter
Clarithromycin,Antidepressant,Syrup,60 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter
Cefoperazone,Antidepressant,Capsule,903 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Clarithromycin,Antiviral,Inhaler,386 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Dextromethorphan,Antidepressant,Capsule,971 mg,GlaxoSmithKline plc,Infection,Prescription
Metoprolol,Antipyretic,Ointment,740 mg,Bayer AG,Wound,Prescription
Paracetamol,Antidepressant,Cream,898 mg,Eli Lilly and Company,Virus,Over-the-Counter
Cefmetazole,Antiseptic,Ointment,306 mg,AstraZeneca plc,Depression,Prescription
Acyclovir,Antidiabetic,Capsule,716 mg,Novartis AG,Wound,Over-the-Counter
Paracetamol,Antidepressant,Capsule,746 mg,AbbVie Inc.,Pain,Over-the-Counter
Paracetamol,Analgesic,Cream,843 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Cefoperazone,Analgesic,Injection,943 mg,CSL Limited,Pain,Prescription
Paracetamol,Antiviral,Capsule,319 mg,Bayer AG,Infection,Over-the-Counter
Ibuprofen,Analgesic,Injection,363 mg,"Merck & Co., Inc.",Virus,Prescription
Amoxicillin,Antiseptic,Ointment,618 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Amoxicillin,Antibiotic,Tablet,351 mg,GlaxoSmithKline plc,Diabetes,Prescription
Metoprolol,Antidepressant,Inhaler,670 mg,Amgen Inc.,Virus,Prescription
Dextromethorphan,Antifungal,Drops,355 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Cefalexin,Antibiotic,Ointment,633 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Cefoperazone,Antidiabetic,Injection,987 mg,Novartis AG,Infection,Over-the-Counter
Amoxicillin,Antiseptic,Capsule,874 mg,Pfizer Inc.,Depression,Over-the-Counter
Amoxicillin,Antidepressant,Syrup,929 mg,CSL Limited,Depression,Prescription
Clarithromycin,Antipyretic,Tablet,128 mg,CSL Limited,Fever,Prescription
Dextromethorphan,Antiviral,Capsule,307 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Paracetamol,Antibiotic,Capsule,270 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Cefaclor,Analgesic,Inhaler,212 mg,Sanofi S.A.,Infection,Over-the-Counter
Amoxicillin,Analgesic,Capsule,436 mg,Takeda Pharmaceutical Company Limited,Diabetes,Over-the-Counter
Metronidazole,Antidepressant,Inhaler,550 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Dextromethorphan,Antipyretic,Cream,951 mg,Eli Lilly and Company,Pain,Over-the-Counter
Metformin,Antiviral,Syrup,779 mg,Novo Nordisk A/S,Fungus,Prescription
Metronidazole,Analgesic,Capsule,108 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Clarithromycin,Antifungal,Capsule,108 mg,AstraZeneca plc,Pain,Prescription
Ibuprofen,Analgesic,Cream,610 mg,AstraZeneca plc,Pain,Prescription
Amoxicillin,Antiseptic,Syrup,277 mg,Pfizer Inc.,Wound,Prescription
Cefixime,Antidiabetic,Inhaler,324 mg,Roche Holding AG,Pain,Over-the-Counter
Dextromethorphan,Antiseptic,Tablet,341 mg,AbbVie Inc.,Depression,Prescription
Amoxicillin,Antipyretic,Tablet,882 mg,Sanofi S.A.,Infection,Over-the-Counter
Clarithromycin,Antiviral,Inhaler,43 mg,Novo Nordisk A/S,Pain,Prescription
Paracetamol,Antipyretic,Inhaler,249 mg,Sanofi S.A.,Infection,Over-the-Counter
Ibuprofen,Antidepressant,Tablet,436 mg,Roche Holding AG,Fever,Over-the-Counter
Amoxicillin,Antiseptic,Capsule,578 mg,Sanofi S.A.,Fungus,Prescription
Acetaminophen,Antiviral,Syrup,251 mg,Roche Holding AG,Fungus,Prescription
Amoxicillin,Antidiabetic,Injection,694 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Paracetamol,Antidiabetic,Inhaler,26 mg,Johnson & Johnson,Infection,Prescription
Acetaminophen,Antiseptic,Tablet,772 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Dextromethorphan,Antifungal,Ointment,329 mg,GlaxoSmithKline plc,Pain,Prescription
Dextromethorphan,Antibiotic,Ointment,37 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Clarithromycin,Antibiotic,Inhaler,759 mg,Amgen Inc.,Fungus,Prescription
Methicillin,Antiseptic,Injection,954 mg,Novartis AG,Infection,Over-the-Counter
Clarithromycin,Antidiabetic,Syrup,44 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Cefadroxil,Antidiabetic,Injection,821 mg,AbbVie Inc.,Virus,Over-the-Counter
Amoxicillin + Metronidazole,Antidiabetic,Tablet,97 mg,Novartis AG,Diabetes,Prescription
Acetaminophen,Antidiabetic,Drops,143 mg,Novartis AG,Fever,Over-the-Counter
Dextromethorphan,Antiviral,Tablet,49 mg,Roche Holding AG,Wound,Over-the-Counter
Clarithromycin,Antidiabetic,Capsule,499 mg,AbbVie Inc.,Virus,Over-the-Counter
Metformin,Antifungal,Cream,406 mg,Bayer AG,Pain,Prescription
Ibuprofen,Antidiabetic,Cream,530 mg,Novo Nordisk A/S,Pain,Prescription
Cefazolin,Antibiotic,Inhaler,975 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Ibuprofen,Antiviral,Ointment,65 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Prescription
Acetaminophen,Antiviral,Syrup,78 mg,AstraZeneca plc,Infection,Prescription
Metronidazole,Antiseptic,Ointment,164 mg,Eli Lilly and Company,Depression,Over-the-Counter
Dextromethorphan,Antipyretic,Syrup,362 mg,Novartis AG,Fever,Over-the-Counter
Paracetamol,Antiviral,Syrup,879 mg,Novartis AG,Fever,Over-the-Counter
Methicillin,Analgesic,Capsule,15 mg,Eli Lilly and Company,Fungus,Over-the-Counter
Acetaminophen,Antifungal,Cream,845 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Acetaminophen,Antidiabetic,Capsule,896 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Amoxicillin,Antibiotic,Cream,335 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Acetaminophen,Analgesic,Ointment,159 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Paracetamol,Antibiotic,Inhaler,576 mg,Bayer AG,Fever,Over-the-Counter
Ketoprofen,Antifungal,Injection,217 mg,Biogen Inc.,Diabetes,Prescription
Cefalexin,Antidiabetic,Capsule,644 mg,Eli Lilly and Company,Fever,Over-the-Counter
Dextromethorphan,Antiseptic,Drops,347 mg,Sanofi S.A.,Virus,Over-the-Counter
Metformin,Antiseptic,Capsule,780 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Ibuprofen,Antibiotic,Ointment,785 mg,Eli Lilly and Company,Diabetes,Over-the-Counter
Cefaclor,Antifungal,Tablet,940 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dextromethorphan,Analgesic,Injection,254 mg,Biogen Inc.,Wound,Prescription
Clarithromycin,Antiviral,Tablet,853 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Ibuprofen,Analgesic,Capsule,622 mg,Novartis AG,Virus,Over-the-Counter
Ibuprofen,Antibiotic,Injection,80 mg,Bristol-Myers Squibb Company,Infection,Prescription
Clarithromycin,Antipyretic,Capsule,50 mg,Roche Holding AG,Infection,Prescription
Amoxicillin,Antiseptic,Cream,598 mg,Johnson & Johnson,Virus,Prescription
Ibuprofen,Antidiabetic,Tablet,759 mg,Bristol-Myers Squibb Company,Fever,Prescription
Paracetamol,Antifungal,Drops,379 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Ibuprofen,Antibiotic,Drops,719 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Amoxicillin,Antidepressant,Tablet,125 mg,AbbVie Inc.,Depression,Over-the-Counter
Paracetamol,Antiseptic,Inhaler,473 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Cefaclor,Analgesic,Tablet,211 mg,Novo Nordisk A/S,Depression,Over-the-Counter
Acetaminophen,Antiseptic,Inhaler,698 mg,CSL Limited,Fever,Prescription
Ibuprofen,Antiviral,Tablet,799 mg,Teva Pharmaceutical Industries Ltd.,Pain,Over-the-Counter
Metronidazole,Antidepressant,Tablet,782 mg,Novartis AG,Infection,Over-the-Counter
Dextromethorphan,Antiseptic,Syrup,7 mg,"Merck & Co., Inc.",Depression,Prescription
Paracetamol,Analgesic,Ointment,623 mg,Biogen Inc.,Depression,Prescription
Metronidazole,Antifungal,Ointment,541 mg,Eli Lilly and Company,Infection,Prescription
Amoxicillin,Antifungal,Tablet,174 mg,Novartis AG,Diabetes,Over-the-Counter
Dextromethorphan,Antidepressant,Drops,764 mg,Biogen Inc.,Fever,Over-the-Counter
Cefazolin,Antipyretic,Tablet,866 mg,Roche Holding AG,Pain,Over-the-Counter
Dextromethorphan,Analgesic,Drops,693 mg,AstraZeneca plc,Diabetes,Prescription
Ibuprofen,Antiseptic,Inhaler,535 mg,Pfizer Inc.,Infection,Over-the-Counter
Methicillin,Antiviral,Drops,146 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter
Clarithromycin,Analgesic,Ointment,730 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Amoxicillin,Antidiabetic,Inhaler,574 mg,Pfizer Inc.,Infection,Prescription
Acetaminophen,Antiviral,Tablet,720 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Dextromethorphan,Antifungal,Injection,251 mg,Eli Lilly and Company,Depression,Prescription
Dextromethorphan,Antiviral,Drops,24 mg,Roche Holding AG,Fever,Prescription
Cefazolin,Antiseptic,Drops,110 mg,"Merck & Co., Inc.",Virus,Over-the-Counter
Amoxicillin + Metronidazole,Antibiotic,Tablet,832 mg,Novartis AG,Infection,Prescription
Acetaminophen,Antifungal,Tablet,246 mg,Biogen Inc.,Infection,Over-the-Counter
Ibuprofen,Antidepressant,Injection,97 mg,Bristol-Myers Squibb Company,Depression,Prescription
Ibuprofen,Antifungal,Inhaler,504 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Clarithromycin,Antidepressant,Injection,349 mg,Sanofi S.A.,Virus,Over-the-Counter
Acetaminophen,Antibiotic,Injection,881 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Clarithromycin,Antibiotic,Drops,930 mg,Pfizer Inc.,Depression,Prescription
Paracetamol,Antifungal,Tablet,136 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Clarithromycin,Antipyretic,Injection,403 mg,Biogen Inc.,Wound,Prescription
Acetaminophen,Antidepressant,Ointment,291 mg,Bayer AG,Fungus,Over-the-Counter
Clarithromycin,Antidepressant,Cream,926 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Paracetamol,Antifungal,Drops,398 mg,"Merck & Co., Inc.",Pain,Prescription
Cefaclor,Analgesic,Tablet,633 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Amoxicillin + Metronidazole,Antidiabetic,Cream,767 mg,Biogen Inc.,Fever,Over-the-Counter
Dextromethorphan,Antiviral,Syrup,939 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Ibuprofen,Antiseptic,Ointment,710 mg,Bayer AG,Fever,Over-the-Counter
Metoprolol,Antibiotic,Injection,145 mg,Novo Nordisk A/S,Pain,Over-the-Counter
Paracetamol,Antiseptic,Ointment,244 mg,Pfizer Inc.,Diabetes,Over-the-Counter
Cefixime,Antiseptic,Injection,788 mg,Pfizer Inc.,Virus,Over-the-Counter
Acyclovir,Antidepressant,Syrup,328 mg,Amgen Inc.,Wound,Over-the-Counter
Ibuprofen,Antiseptic,Drops,129 mg,Sanofi S.A.,Infection,Over-the-Counter
Ibuprofen,Antidiabetic,Capsule,227 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Dextromethorphan,Antipyretic,Syrup,39 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Acyclovir,Antibiotic,Cream,100 mg,Biogen Inc.,Virus,Over-the-Counter
Ibuprofen,Antibiotic,Ointment,616 mg,"Gilead Sciences, Inc.",Virus,Over-the-Counter
Metoprolol,Antibiotic,Tablet,212 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Amoxicillin,Antifungal,Cream,473 mg,CSL Limited,Infection,Prescription
Paracetamol,Analgesic,Inhaler,637 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Cefalexin,Analgesic,Syrup,560 mg,"Gilead Sciences, Inc.",Wound,Over-the-Counter
Dextromethorphan,Antidepressant,Syrup,817 mg,AstraZeneca plc,Infection,Prescription
Metoprolol,Antiviral,Tablet,583 mg,AstraZeneca plc,Depression,Prescription
Acetaminophen,Antipyretic,Drops,648 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Cefalexin,Antibiotic,Capsule,731 mg,Biogen Inc.,Depression,Over-the-Counter
Ibuprofen,Antibiotic,Inhaler,241 mg,Johnson & Johnson,Fungus,Over-the-Counter
Dextromethorphan,Antiseptic,Syrup,517 mg,Roche Holding AG,Pain,Prescription
Amoxicillin,Antifungal,Inhaler,351 mg,Pfizer Inc.,Infection,Prescription
Dextromethorphan,Antidepressant,Drops,386 mg,CSL Limited,Infection,Over-the-Counter
Paracetamol,Antidiabetic,Syrup,695 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Cefazolin,Antiviral,Capsule,836 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Ibuprofen,Antifungal,Drops,923 mg,Pfizer Inc.,Virus,Over-the-Counter
Clindamycin,Antiviral,Drops,137 mg,AbbVie Inc.,Wound,Over-the-Counter
Metformin,Antibiotic,Drops,151 mg,Amgen Inc.,Fever,Over-the-Counter
Acetaminophen,Antifungal,Ointment,433 mg,Biogen Inc.,Depression,Prescription
Ibuprofen,Antiseptic,Ointment,835 mg,Eli Lilly and Company,Infection,Over-the-Counter
Acetaminophen,Antiviral,Injection,989 mg,Eli Lilly and Company,Infection,Over-the-Counter
Cefaclor,Antifungal,Ointment,310 mg,Bayer AG,Depression,Prescription
Cefoperazone,Antibiotic,Injection,956 mg,Novo Nordisk A/S,Infection,Over-the-Counter
Clindamycin,Antidepressant,Injection,327 mg,Bayer AG,Infection,Prescription
Dextromethorphan,Antiseptic,Inhaler,762 mg,Novartis AG,Virus,Prescription
Clarithromycin,Analgesic,Drops,126 mg,Sanofi S.A.,Fungus,Prescription
Metronidazole,Antiviral,Capsule,862 mg,Biogen Inc.,Diabetes,Over-the-Counter
Clarithromycin,Antidiabetic,Capsule,678 mg,Novartis AG,Wound,Prescription
Paracetamol,Antidiabetic,Drops,631 mg,Teva Pharmaceutical Industries Ltd.,Virus,Over-the-Counter
